Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",0.715000,8.365000,90.000000,bottom
"C2","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",1.025000,1.400000,270.000000,bottom
"C3","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",0.715000,6.855000,270.000000,bottom
"C4","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",3.925000,4.005000,0.000000,bottom
"C5","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",5.075000,3.925000,270.000000,bottom
"C7","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",5.775000,3.925000,270.000000,bottom
"C8","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",3.235000,8.345000,270.000000,bottom
"C9","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",3.125000,2.955000,270.000000,bottom
"C10","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",3.235000,6.870000,270.000000,bottom
"C11","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",7.085000,8.805000,180.000000,bottom
"C17","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",5.075000,5.325000,90.000000,bottom
"C20","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",5.775000,5.325000,90.000000,bottom
"C21","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",9.275000,6.225000,0.000000,bottom
"C22","0402, 10uF, 6.3V, X5R, 20%","C_0402_1005Metric",3.275000,1.090000,90.000000,bottom
"C23","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",1.725000,1.400000,90.000000,bottom
"C24","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",8.475000,1.650000,180.000000,bottom
"C25","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",9.275000,6.925000,0.000000,bottom
"C28","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",8.475000,2.350000,180.000000,bottom
"D1","D5V0L1B2LP3-7","X1-DFN1006-2",9.950000,2.200000,180.000000,bottom
"D2","D5V0L1B2LP3-7","X1-DFN1006-2",9.875000,3.375000,270.000000,bottom
"D3","D5V0L1B2LP3-7","X1-DFN1006-2",9.200000,7.625000,0.000000,bottom
"D4","D5V0L1B2LP3-7","X1-DFN1006-2",10.300000,6.200000,90.000000,bottom
"D5","VCUT05E1-SD0","TVS-11V",2.025000,0.425000,0.000000,bottom
"D6","D5V0L1B2LP3-7","X1-DFN1006-2",3.900000,4.700000,0.000000,bottom
"D7","D5V0L1B2LP3-7","X1-DFN1006-2",1.700000,5.575000,180.000000,bottom
"R1","0201, 10k, 1/16W","R_0201_0603Metric",0.775000,4.350000,270.000000,bottom
"R5","0201, 10k, 1/16W","R_0201_0603Metric",8.475000,0.950000,180.000000,bottom
"R9","0201, 1.5k, 1/16W, 1%","R_0201_0603Metric",2.875000,4.350000,90.000000,bottom
"R10","0201, 100ohm, 1/16W, 1%","R_0201_0603Metric",2.425000,1.395000,90.000000,bottom
"R11","0201, 22ohm, 1/16W, 1%","R_0201_0603Metric",1.475000,4.350000,90.000000,bottom
"R12","0201, 22ohm, 1/16W, 1%","R_0201_0603Metric",2.175000,4.350000,90.000000,bottom
"U1","LDO-X2SON-1.2V","Texas_X2SON-4_1x1mm_P0.65mm",1.975000,8.350000,180.000000,bottom
"U2","LDO-X2SON-3.3V","Texas_X2SON-4_1x1mm_P0.65mm",1.875000,2.850000,180.000000,bottom
"U3","LDO-X2SON-2.5V","Texas_X2SON-4_1x1mm_P0.65mm",1.975000,6.850000,180.000000,bottom
"U4","SPI Flash","SON50P300X200X60-9N",5.900000,1.625000,180.000000,bottom
"U5","ICE40UP5K-UWG30","iCE40UP5K-UWG30",7.375000,4.650000,0.000000,bottom
"U7","Crystal Oscillator","XTAL-2520",5.025000,7.685000,270.000000,bottom
"U10","RGB-LED","LED-RGB-5DS-UHD1110-FKA",9.395000,4.670000,90.000000,bottom
